,index,date,qty,action_type,order_balance,order_id,product_id,product_name,manufacturer,product_group_code,product_group_name,model_name,stock_balance
158,113,2020-04-23,0,empty,0.0,,,,,,,,
159,2084,2020-04-23,2,stockin,,bdd8ed218ce7d8420ad0188fce06c8e3,94.0,погрузчик JCB JCB 526-56 AGRI,JCB,LDR,Погрузчики,LDR-JCB 526-56 AGRI,2.0
160,114,2020-04-24,0,empty,0.0,,,,,,,,
161,2086,2020-04-24,1,stockin,,e692e12c22d381f6229ffabc3882144e,30.0,Косилки-плющилки John Deere 830,John Deere,TL,Прицепное оборудование,TL-830,1.0
162,115,2020-04-25,0,empty,0.0,,,,,,,,
163,116,2020-04-26,0,empty,0.0,,,,,,,,
164,2019,2020-04-26,-1,stockout,,d1d06a4a48973070dfd67181e156cb15,214.0,Зерноуборочный комбайн John Deere 9870 STS [440hp] (Combine rotary; Class VIII),John Deere,HARV,Зерноуборочные комбайны,HARV-9870 STS [440hp],1.0
165,117,2020-04-27,0,empty,0.0,,,,,,,,
166,2088,2020-04-27,1,stockin,,a3b7225f9c38de70ddf2f7cbb8d21db7,127.0,Косилка-плющилка KUHN FC 10030,KUHN,TL,Прицепное оборудование,TL-FC 10030,1.0
167,2092,2020-04-28,1,stockin,,5dfa85e2f213a3a20e68e06e82f7b695,64.0,Сеялки точного высева John Deere DB55 (междурядье 45/70),John Deere,TL,Прицепное оборудование,TL-DB55 (междурядье 45/70),1.0
168,2090,2020-04-28,1,stockin,,f6d3015c2d34124463f017a9db8da7d8,81.0,Разбрасыватель удобрений John Deere DN236,John Deere,TL,Прицепное оборудование,TL-DN236,1.0
169,118,2020-04-28,0,empty,0.0,,,,,,,,
170,119,2020-04-29,0,empty,0.0,,,,,,,,
171,120,2020-04-30,0,empty,0.0,,,,,,,,
172,2094,2020-05-01,3,stockin,,6e568d3366c5ebfe1b14a509e74db0a6,121.0,Опрыскиватель KUHN 	OCEANIS 6500-7700,KUHN,SPR,Опрыскиватели,SPR-	OCEANIS 6500-7700,3.0
173,121,2020-05-01,0,empty,0.0,,,,,,,,
174,122,2020-05-02,0,empty,0.0,,,,,,,,
175,123,2020-05-03,0,empty,0.0,,,,,,,,
176,124,2020-05-04,0,empty,0.0,,,,,,,,
177,2029,2020-05-04,-2,stockout,,05a324993603b50c646747ce079c1e73,26.0,Пресс-подборщик John Deere S180,John Deere,TL,Прицепное оборудование,TL-S180,0.0
178,2097,2020-05-04,1,stockin,,5b714310fbc9e3c9b9a11900f5f84496,196.0,Трактор John Deere 8430 [305hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8430 [305hp],1.0
179,125,2020-05-05,0,empty,0.0,,,,,,,,
180,2099,2020-05-05,2,stockin,,7e4260edc13a7b75612091b9a50ac808,224.0,Зерноуборочный комбайн John Deere 1470 [204hp] (Combine walker; Class I-IV),John Deere,HARV,Зерноуборочные комбайны,HARV-1470 [204hp],2.0
181,2102,2020-05-06,1,stockin,,018ac91d686fe1e8eb1b70ad8f973c73,225.0,Зерноуборочный комбайн John Deere 1550 CWS [230hp] (Combine walker; Class V),John Deere,HARV,Зерноуборочные комбайны,HARV-1550 CWS [230hp],1.0
182,126,2020-05-06,0,empty,0.0,,,,,,,,
183,2027,2020-05-06,-1,stockout,,c60ff18d6617019b286878156c706a56,11.0,Прицепные опрыскиватели John Deere M740,John Deere,SPR,Опрыскиватели,SPR-M740,0.0
184,2025,2020-05-07,-1,stockout,,d40ad945fb0b82a4643bb4cf39c70eb8,104.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,0.0
185,2031,2020-05-07,-2,stockout,,b9392604f7cbaf67b0e1cdc39d5f70a9,6.0,Самоходный опрыскиватель John Deere M4040,John Deere,SPR,Опрыскиватели,SPR-M4040,0.0
186,127,2020-05-07,0,empty,0.0,,,,,,,,
187,2022,2020-05-08,-1,stockout,,20c985a7a7d19f31cc6da2484d4286cb,223.0,Зерноуборочный комбайн John Deere S790 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S790 [551hp],1.0
188,128,2020-05-08,0,empty,0.0,,,,,,,,
189,2033,2020-05-09,-1,stockout,,00b22ceff90a52dbfc7bbc7fd1db0a59,12.0,Прицепные опрыскиватели John Deere M944,John Deere,SPR,Опрыскиватели,SPR-M944,0.0
190,129,2020-05-09,0,empty,0.0,,,,,,,,
191,2104,2020-05-10,2,stockin,,3bb5b5de1910143ed5c93bdf18635f55,6.0,Самоходный опрыскиватель John Deere M4040,John Deere,SPR,Опрыскиватели,SPR-M4040,2.0
192,130,2020-05-10,0,empty,0.0,,,,,,,,
193,2106,2020-05-10,2,stockin,,16587a73dadf5df70729e2813f3ba91f,30.0,Косилки-плющилки John Deere 830,John Deere,TL,Прицепное оборудование,TL-830,2.0
194,131,2020-05-11,0,empty,0.0,,,,,,,,
195,132,2020-05-12,0,empty,0.0,,,,,,,,
196,2111,2020-05-13,1,stockin,,a3b7225f9c38de70ddf2f7cbb8d21db7,127.0,Косилка-плющилка KUHN FC 10030,KUHN,TL,Прицепное оборудование,TL-FC 10030,1.0
197,2109,2020-05-13,1,stockin,,a6e23e8400236f869ec34247fc8ac9cb,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],1.0
198,133,2020-05-13,0,empty,0.0,,,,,,,,
199,2037,2020-05-14,-2,stockout,,205d680c1ecb8132af9b2abc1f490f08,207.0,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9520RT [520hp],0.0
200,2113,2020-05-14,2,stockin,,5b5d97b59da1cabea12aab3195585619,190.0,Трактор John Deere 8310R [310hp] (Tractor MFWD; CCH),John Deere,TR,Тракторы,TR-8310R [310hp],2.0
201,134,2020-05-14,0,empty,0.0,,,,,,,,
202,2115,2020-05-15,1,stockin,,d2b38fa1282808a7e477deb2002e028a,73.0,Почвообрабатывающая техника John Deere 2230LL,John Deere,TL,Прицепное оборудование,TL-2230LL,1.0
203,135,2020-05-15,0,empty,0.0,,,,,,,,
204,136,2020-05-16,0,empty,0.0,,,,,,,,
205,2117,2020-05-17,1,stockin,,077a8cef14128278419e9de179b7ca37,150.0,Разбрасыватель KUHN 	PS 160,KUHN,TL,Прицепное оборудование,TL-	PS 160,1.0
206,2039,2020-05-17,-1,stockout,,20c985a7a7d19f31cc6da2484d4286cb,223.0,Зерноуборочный комбайн John Deere S790 [551hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S790 [551hp],0.0
207,137,2020-05-17,0,empty,0.0,,,,,,,,
208,138,2020-05-18,0,empty,0.0,,,,,,,,
209,2043,2020-05-19,-1,stockout,,62d3af8469c87c5f998018f9b0a04507,128.0,Косилка-плющилка KUHN FC 8830 D,KUHN,TL,Прицепное оборудование,TL-FC 8830 D,0.0
210,2119,2020-05-19,1,stockin,,bdd8ed218ce7d8420ad0188fce06c8e3,94.0,погрузчик JCB JCB 526-56 AGRI,JCB,LDR,Погрузчики,LDR-JCB 526-56 AGRI,1.0
211,139,2020-05-19,0,empty,0.0,,,,,,,,
212,2041,2020-05-20,-3,stockout,,5ace07c6c71c986fc5987305c64cd098,218.0,Зерноуборочный комбайн John Deere S680 [507hp] (Combine rotary; Class IX),John Deere,HARV,Зерноуборочные комбайны,HARV-S680 [507hp],0.0
213,140,2020-05-20,0,empty,0.0,,,,,,,,
214,2035,2020-05-20,-1,stockout,,ffb6d76daa75025c0d6f3209b234099c,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],0.0
215,141,2020-05-21,0,empty,0.0,,,,,,,,
216,142,2020-05-22,0,empty,0.0,,,,,,,,
217,2121,2020-05-22,1,stockin,,aa9f5ec46667ab8576e15792454dbba9,204.0,Трактор John Deere 9460RT [460hp] (Tractor Track; Tractor Track),John Deere,TR,Тракторы,TR-9460RT [460hp],1.0
218,143,2020-05-23,0,empty,0.0,,,,,,,,
219,2123,2020-05-23,1,stockin,,8a97a965fba0f0eb04a0b012d4022d0d,30.0,Косилки-плющилки John Deere 830,John Deere,TL,Прицепное оборудование,TL-830,1.0
220,2125,2020-05-24,2,stockin,,87b528c4651da1f88b90c86e98155fdf,5.0,Самоходный опрыскиватель John Deere M4030,John Deere,SPR,Опрыскиватели,SPR-M4030,2.0
221,2127,2020-05-24,2,stockin,,9a39b6279d4ffdc3ca854c533c8f36d3,158.0,Трактор John Deere 9460R [460hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9460R [460hp],2.0
222,2130,2020-05-24,2,stockin,,788abd6e78eaaf5c83f256a4cbb84b63,162.0,Трактор John Deere 9530 [491hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9530 [491hp],2.0
223,144,2020-05-24,0,empty,0.0,,,,,,,,
224,145,2020-05-25,0,empty,0.0,,,,,,,,
225,146,2020-05-26,0,empty,0.0,,,,,,,,
226,147,2020-05-27,0,empty,0.0,,,,,,,,
227,148,2020-05-28,0,empty,0.0,,,,,,,,
228,2133,2020-05-28,1,stockin,,aabc1f1073210b0822a8ff6a071614a8,118.0,Опрыскиватель KUHN LEXIS 2400-3000 L,KUHN,SPR,Опрыскиватели,SPR-LEXIS 2400-3000 L,1.0
229,149,2020-05-29,0,empty,0.0,,,,,,,,
230,2045,2020-05-29,-1,stockout,,788abd6e78eaaf5c83f256a4cbb84b63,162.0,Трактор John Deere 9530 [491hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9530 [491hp],0.0
231,2054,2020-05-29,-2,stockout,,d40ad945fb0b82a4643bb4cf39c70eb8,104.0,Борона KUHN TDH 8210-36Q,KUHN,TL,Прицепное оборудование,TL-TDH 8210-36Q,0.0
232,150,2020-05-30,0,empty,0.0,,,,,,,,
233,2135,2020-05-30,3,stockin,,94465f690a8e74ab96b1e9df6626b262,228.0,Зерноуборочный комбайн John Deere T670 [397hp] (Combine walker; Class VII),John Deere,HARV,Зерноуборочные комбайны,HARV-T670 [397hp],3.0
234,2138,2020-05-31,1,stockin,,a6e23e8400236f869ec34247fc8ac9cb,156.0,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,TR,Тракторы,TR-9420R [420hp],1.0
235,151,2020-05-31,0,empty,0.0,,,,,,,,
236,2140,2020-06-01,1,stockin,,bdd8ed218ce7d8420ad0188fce06c8e3,94.0,погрузчик JCB JCB 526-56 AGRI,JCB,LDR,Погрузчики,LDR-JCB 526-56 AGRI,1.0
237,152,2020-06-01,0,empty,0.0,,,,,,,,
238,2059,2020-06-01,-1,stockout,,1823fa90ee5fc2a362742cab15361b6a,83.0,Разбрасыватель удобрений John Deere DN456,John Deere,TL,Прицепное оборудование,TL-DN456,1.0
239,2067,2020-06-01,-1,stockout,,72ce1e71ae64456715f6c3d7c4ba4cf3,129.0,Косилка-плющилка KUHN FC 9530,KUHN,TL,Прицепное оборудование,TL-FC 9530,0.0
240,2145,2020-06-01,2,stockin,,741c1689a838730cad4d240ad1b964d4,31.0,Косилки-плющилки John Deere 835,John Deere,TL,Прицепное оборудование,TL-835,2.0
241,2142,2020-06-01,3,stockin,,dcea98806e94d1f8949062fcde9bac0d,21.0,Пресс-подборщик John Deere F450E,John Deere,TL,Прицепное оборудование,TL-F450E,3.0
242,153,2020-06-02,0,empty,0.0,,,,,,,,
243,2069,2020-06-02,-2,stockout,,1c4c277697ff8746c063d7230c080fef,174.0,Трактор John Deere 6130D [130hp] (Tractor MFWD; APH),John Deere,TR,Тракторы,TR-6130D [130hp],2.0
244,2147,2020-06-02,3,stockin,,aad38866b75241e01a529dde2e80727b,78.0,Почвообрабатывающая техника John Deere 2633VT,John Deere,TL,Прицепное оборудование,TL-2633VT,3.0
245,154,2020-06-03,0,empty,0.0,,,,,,,,
246,155,2020-06-04,0,empty,0.0,,,,,,,,
247,2056,2020-06-04,-2,stockout,,fd20963094fbf3e47a6aecbe495c9df0,166.0,Трактор John Deere 7830 [205hp] (Tractor MFWD; CCM),John Deere,TR,Тракторы,TR-7830 [205hp],1.0
